Agent,
Agent,Time,Method,Resource,Version,StatusMozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-06T23:59:24.848Z,GET,/,http/1.1,200/nMozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-06T23:59:29.971Z,GET,/logs,http/1.1,200/nMozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:19:15.123Z,GET,/,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:19:19.938Z,GET,/logs,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:20:18.825Z,GET,/log,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:20:22.126Z,GET,/,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:20:26.840Z,GET,/logs,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:22:15.350Z,GET,/logs,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T00:23:18.151Z,GET,/logs,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T15:53:07.931Z,GET,/,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-07T15:53:13.322Z,GET,/logs,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-08T16:31:24.576Z,GET,/,http/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/66.0.3359.181 Safari/537.36,2018-06-08T16:31:28.396Z,GET,/logs,http/1.1,200
